word,normalized_word,frequency
के,के,7468
है,है,6489
में,में,6282
और,और,5135
से,से,5030
की,की,4391
को,को,3811
हैं,हैं,3678
का,का,3486
पर,पर,2435
एक,एक,2356
भी,भी,1833
कि,कि,1629
तो,तो,1509
इस,इस,1459
लिए,लिए,1406
अपने,अपने,1296
ने,ने,1266
नहीं,नहीं,1215
हो,हो,1175
ही,ही,1167
यह,यह,1071
आप,आप,1017
था,था,982
कुछ,कुछ,959
गए,गए,920
या,या,821
वह,वह,818
गया,गया,798
गई,गई,741
साथ,साथ,716
मैं,मैं,704
कर,कर,653
कौन,कौन,645
कीजिए,कीजिए,625
नीचे,नीचे,621
घर,घर,614
जो,जो,604
अपनी,अपनी,601
थे,थे,600
क्या,क्या,595
लिखिए,लिखिए,589
करने,करने,581
कोई,कोई,529
शब्द,शब्द,525
हुए,हुए,513
दिए,दिए,510
थी,थी,505
कहानी,कहानी,501
करते,करते,495
बात,बात,492
रहा,रहा,488
अब,अब,482
वे,वे,468
हम,हम,462
इन,इन,457
नाम,नाम,453
बहुत,बहुत,452
एवं,एवं,433
जाता,जाता,427
दो,दो,426
तक,तक,423
किसी,किसी,422
रहे,रहे,421
जैसे,जैसे,412
दी,दी,408
कविता,कविता,402
सकते,सकते,392
उसे,उसे,386
समय,समय,386
रूप,रूप,385
उस,उस,385
उनके,उनके,381
आपको,आपको,381
हुआ,हुआ,366
उत्तर,उत्तर,365
कहा,कहा,364
स्,स्थ,361
फिर,फिर,360
तरह,तरह,355
हूँ,हूँ,351
सी,सी,351
खेल,खेल,351
जब,जब,348
पाठ,पाठ,342
वाले,वाले,342
रही,रही,340
कया,क्या,339
किया,किया,335
होता,होता,332
पानी,पानी,326
भाषा,भाषा,321
समूह,समूह,315
जा,जा,308
आपके,आपके,308
चित्र,चित्र,307
आदि,आदि,306
कैसे,कैसे,304
दिन,दिन,303
मुझे,मुझे,299
सब,सब,298
पास,पास,294
ये,ये,291
कभी,कभी,289
मन,मन,289
देश,देश,285
दिया,दिया,280
समझ,समझ,278
ओर,और,275
सं,सं,272
दोनों,दोनों,272
प्रकार,प्रकार,272
आपने,आपने,270
सा,सा,267
भारत,भारत,266
सभी,सभी,266
ऐसे,ऐसे,266
काम,काम,266
जी,जी,264
आगे,आगे,261
प्रयोग,प्रयोग,259
बार,बार,258
बारे,बारे,257
बनाइए,बनाइए,255
उसके,उसके,255
रंग,रंग,254
माँ,माँ,252
वि,वि,252
होगा,होगा,248
मेरे,मेरे,246
करना,करना,246
यहाँ,यहाँ,245
कक्ा,कक्षा,244
आज,आज,240
देखा,देखा,239
जीवन,जीवन,238
शब्दों,शब्दों,237
पहले,पहले,236
अलग,अलग,235
ऐसा,ऐसा,233
बताइए,बताइए,230
ले,ले,227
जाते,जाते,227
क्यों,क्यों,227
सहायता,सहायता,226
पता,पता,224
होते,होते,223
जाने,जाने,223
प्रश्,प्रश्न,223
पंक्,पंक्ति,220
नई,नई,220
होती,होती,220
कक्षा,कक्षा,216
करें,करें,215
सकता,सकता,214
पु,पुस्तक,212
वीणा,वीणा,208
बाद,बाद,207
लोग,लोग,207
किस,किस,205
इसके,इसके,203
उन,उन,203
उनकी,उनकी,202
बच्चों,बच्चों,202
यदि,यदि,202
मेरी,मेरी,200
संकेत,संकेत,199
का़े,को,198
सही,सही,196
अनेक,अनेक,187
राजा,राजा,187
वहाँ,वहाँ,186
लगा,लगा,181
तुम,तुम,181
सबसे,सबसे,181
तथा,तथा,180
अपना,अपना,180
करके,करके,179
थीं,थीं,179
अन्य,अन्य,178
मेरा,मेरा,177
शबद,शब्द,176
उदाहरण,उदाहरण,173
जाती,जाती,173
दूसरे,दूसरे,173
ऐसी,ऐसी,172
शिक्षण,शिक्षण,171
गंगा,गंगा,171
हिंदी,हिंदी,171
बातचीत,बातचीत,170
हमारे,हमारे,168
चाँद,चाँद,168
होने,होने,168
मिलकर,मिलकर,167
दे,दे,165
तब,तब,164
अर्थ,अर्थ,164
करता,करता,163
कई,कई,162
पत्र,पत्र,162
कारण,कारण,161
उसने,उसने,160
विश्,विश्व,160
वाक्य,वाक्य,160
हुई,हुई,160
लि,लिख,159
भाव,भाव,159
मित्र,मित्र,158
मेंं,में,158
प्र,प्र,158
विचार,विचार,157
पेड़,पेड़,157
मैंने,मैंने,156
आया,आया,156
ऊपर,ऊपर,156
वाला,वाला,154
हमें,हमें,153
देखकर,देखकर,152
अधिक,अधिक,152
हर,हर,151
लगता,लगता,148
क््ययाया,क्या,147
शिक्षा,शिक्षा,147
तीन,तीन,146
फूल,फूल,146
लेकिन,लेकिन,145
बाहर,बाहर,145
कहाँ,कहाँ,145
जाना,जाना,143
कहते,कहते,143
चर्चा,चर्चा,142
जल,जल,141
हैहै,है,140
चाहिए,चाहिए,140
अवसर,अवसर,138
ध्यान,ध्यान,138
तति,स्थित,137
उसका,उसका,137
मुें,में,136
दूर,दूर,135
अनुभव,अनुभव,135
लेखन,लेखन,134
आपकी,आपकी,134
जाए,जाए,133
गयया,गया,133
शबदों,शब्दों,133
हाँ,हाँ,133
भर,भर,133
ति,ति,132
क्,कि,132
लेकर,लेकर,131
लोगों,लोगों,131
किवता,कविता,131
लेखक,लेखक,131
मल्हार,मल्हार,131
द्ारा,द्वारा,130
शै,शय,129
विषय,विषय,129
विशेष,विशेष,127
टी,टी,127
रात,रात,125
उसकी,उसकी,125
आनंद,आनंद,125
बातें,बातें,125
आधार,आधार,125
यों,यों,124
बचचों,बच्चों,124
पूरा,पूरा,124
रा,राह,124
ली,ली,124
केवल,केवल,123
हाथ,हाथ,123
रामस््वरूप,रामस्वरूप,122
देने,देने,122
किन,किन,122
ययह,यह,122
उनका,उनका,121
कवि,कवि,121
सामने,सामने,121
निबंध,निबंध,121
चुनकर,चुनकर,120
इसे,इसे,120
करती,करती,120
होंगे,होंगे,120
देते,देते,119
लगे,लगे,119
अर््थ,अर्थ,118
कब,कब,118
परिषद्,परिषद्,118
पढ़िए,पढ़िए,118
नों,नों,118
क्ा,क्या,117
उन्हें,उन्हें,117
प्रति,प्रति,117
उपयोग,उपयोग,116
सुंदर,सुंदर,116
फल,फल,115
हवा,हवा,115
हमारा,हमारा,114
विभाग,विभाग,113
नए,नए,113
जहाँ,जहाँ,113
बना,बना,112
इसी,इसी,112
बीच,बीच,112
उनहें,उन्हें,112
छोटे,छोटे,111
शिक्षक,शिक्षक,111
चार,चार,111
वाली,वाली,111
हार,हार,110
पीछे,पीछे,110
हहै,है,110
पिताजी,पिताजी,109
गीत,गीत,109
नि,न,108
संगीत,संगीत,108
कयों,क्यों,108
पहेली,पहेली,108
परिवार,परिवार,107
भाग,भाग,107
अध्यक्ष,अध्यक्ष,106
सिंह,सिंह,106
भाई,भाई,106
दि,दि,104
व्,व,104
अनुमान,अनुमान,104
मि,मि,104
कार्य,कार्य,103
हों,हूँ,103
ध्,ध,103
मुँह,मुँह,102
देता,देता,102
महाराज,महाराज,101
प्रसिद्ध,प्रसिद्ध,101
अगर,अगर,100
उन््हें,उन्हें,100
अनुसार,अनुसार,99
खाने,खाने,99
कम,कम,99
मत,मत,99
राष्,रष,99
इसका,इसका,99
होकर,होकर,98
का़ो,को,98
रचना,रचना,98
काी,की,98
लगाइए,लगाइए,98
सूर्य,सूर्य,97
साझा,साझा,97
देख,देख,97
अंत,अंत,97
धीरे,धीरे,96
पा,पा,96
पेड़,पेड़,95
आने,आने,95
प्रश्न,प्रश्न,95
ठीक,ठीक,95
दिखाई,दिखाई,94
बस,बस,94
क््यों,क्यों,94
लगी,लगी,94
संवाद,संवाद,94
पसंद,पसंद,93
इकाई,इकाई,93
दीजिए,दीजिए,93
जगह,जगह,93
आता,आता,93
बह,वह,92
बादल,बादल,91
रोचक,रोचक,90
धव,ध्व,90
इसलिए,इसलिए,90
पंिक्,पंक्ति,89
करेंगे,करेंगे,89
अभी,अभी,89
बनाने,बनाने,89
समाज,समाज,89
देना,देना,89
बच्चे,बच्चे,89
तत,तत,89
पाँच,पाँच,88
गोपालप्रसाद,गोपालप्रसाद,88
देखने,देखने,87
पी,पी,86
कहीं,कहीं,86
कुमार,कुमार,86
आस,आस,86
तैयार,तैयार,86
इसमें,इसमें,86
कल्पना,कल्पना,86
चला,चला,85
सूची,सूची,85
शब्,शब्द,85
होगी,होगी,85
मिल,मिल,85
श्,श,85
हमने,हमने,85
लेते,लेते,85
पुस्तक,पुस्तक,84
प्रदेश,प्रदेश,84
यया,या,84
सोच,सोच,84
छोटा,छोटा,83
आते,आते,83
गाँव,गाँव,83
वषार्,वर्षा,82
समान,समान,82
कह,कह,81
पद,पद,81
स्तंभ,स्तंभ,81
मिट्ठू,मिट्ठू,81
एस,एस,81
याद,याद,81
आर,आर,81
जि,जी,81
जान,जान,80
देखते,देखते,80
हैंं,हैं,80
किए,किए,80
उसमें,उसमें,79
