normalized_word,frequency,earliest_grade
के,7483.0,1.0
है,6838.0,1.0
में,6642.0,1.0
और,5423.0,1.0
से,5109.0,1.0
की,4490.0,1.0
को,4126.0,1.0
हैं,3869.0,1.0
का,3494.0,1.0
पर,2457.0,1.0
एक,2392.0,1.0
कि,1900.0,1.0
भी,1883.0,1.0
तो,1518.0,1.0
लिए,1469.0,1.0
इस,1463.0,1.0
नहीं,1355.0,1.0
क्या,1344.0,1.0
अपने,1334.0,1.0
यह,1327.0,1.0
ने,1289.0,1.0
हो,1206.0,1.0
ही,1167.0,1.0
था,1059.0,1.0
आप,1054.0,1.0
कुछ,978.0,1.0
गया,953.0,1.0
वह,937.0,1.0
गए,937.0,1.0
या,924.0,1.0
शब्द,869.0,1.0
गई,806.0,1.0
साथ,763.0,1.0
मैं,720.0,1.0
कीजिए,696.0,1.0
कौन,663.0,1.0
नीचे,661.0,1.0
कर,659.0,1.0
जो,628.0,1.0
अपनी,621.0,1.0
थे,620.0,1.0
घर,618.0,1.0
करने,613.0,1.0
कविता,599.0,1.0
लिखिए,589.0,1.0
करते,566.0,1.0
इन,553.0,1.0
कोई,539.0,1.0
बात,537.0,1.0
दिए,524.0,1.0
हुए,519.0,1.0
थी,516.0,1.0
रहा,514.0,1.0
कक्षा,508.0,1.0
कहानी,507.0,1.0
वे,502.0,1.0
बहुत,493.0,1.0
अब,486.0,1.0
क्यों,484.0,1.0
हूँ,481.0,1.0
पुस्तक,480.0,1.0
शब्दों,479.0,1.0
तक,476.0,1.0
दो,474.0,1.0
हम,469.0,1.0
नाम,468.0,1.0
एवं,464.0,1.0
समय,455.0,1.0
रहे,442.0,1.0
जाता,430.0,1.0
किया,425.0,1.0
किसी,423.0,1.0
जैसे,420.0,1.0
उनके,418.0,1.0
दी,410.0,1.0
सकते,406.0,1.0
उसे,390.0,1.0
आपको,390.0,1.0
उस,387.0,1.0
रूप,387.0,1.0
कहा,382.0,1.0
फिर,380.0,1.0
उत्तर,375.0,1.0
हुआ,374.0,1.0
सी,371.0,1.0
पाठ,368.0,1.0
तरह,361.0,1.0
स्थ,361.0,1.0
बच्चों,358.0,1.0
आदि,356.0,1.0
वाले,355.0,1.0
खेल,351.0,1.0
होता,349.0,1.0
जब,348.0,1.0
जी,348.0,1.0
पंक्ति,346.0,1.0
रही,346.0,1.0
पानी,342.0,1.0
उन्हें,339.0,1.0
समूह,337.0,1.0
दिया,332.0,1.0
भाषा,331.0,1.0
अर्थ,326.0,1.0
प्रश्न,324.0,1.0
जा,315.0,1.0
प्रयोग,314.0,1.0
चित्र,313.0,1.0
आपके,312.0,1.0
कैसे,308.0,1.0
दोनों,305.0,1.0
मुझे,305.0,1.0
देश,304.0,1.0
दिन,303.0,1.0
वाक्य,301.0,1.0
सब,301.0,1.0
मन,299.0,1.0
पास,297.0,1.0
ये,297.0,1.0
यहाँ,293.0,1.0
कभी,292.0,1.0
समझ,286.0,1.0
ध्यान,284.0,1.0
सं,279.0,1.0
आपने,278.0,1.0
करना,277.0,1.0
काम,275.0,1.0
प्रकार,273.0,1.0
चर्चा,273.0,1.0
भारत,272.0,1.0
ऐसे,271.0,1.0
शिक्षा,270.0,1.0
सा,270.0,1.0
माँ,269.0,1.0
सभी,267.0,1.0
होगा,263.0,1.0
आगे,263.0,1.0
सहायता,261.0,1.0
रंग,259.0,1.0
बारे,259.0,1.0
बनाइए,258.0,1.0
बार,258.0,1.0
उसके,255.0,1.0
मेरे,253.0,1.0
वि,252.0,4.0
उन,251.0,1.0
होते,250.0,1.0
यदि,250.0,1.0
आज,249.0,2.0
जीवन,247.0,1.0
करें,245.0,1.0
ले,245.0,1.0
तथा,242.0,1.0
देखा,241.0,1.0
होती,240.0,1.0
पहले,240.0,1.0
नई,240.0,1.0
अलग,240.0,1.0
जाते,236.0,1.0
जाने,235.0,1.0
अन्य,235.0,1.0
ऐसा,234.0,1.0
लिख,232.0,1.0
बताइए,231.0,1.0
संकेत,227.0,1.0
कारण,226.0,2.0
पता,224.0,1.0
सकता,219.0,1.0
लोग,216.0,1.0
उनकी,215.0,1.0
बाद,214.0,1.0
अधिक,211.0,1.0
सही,210.0,1.0
अनेक,209.0,1.0
वीणा,209.0,3.0
बच्चे,209.0,1.0
विषय,208.0,1.0
किस,206.0,1.0
थीं,205.0,1.0
इसके,203.0,1.0
बातचीत,202.0,1.0
स्थान,202.0,1.0
मेरी,201.0,1.0
वहाँ,200.0,1.0
होने,195.0,1.0
हिंदी,193.0,1.0
यों,192.0,1.0
विश्व,190.0,1.0
आया,189.0,1.0
अपना,189.0,1.0
उन्होंने,188.0,1.0
कार्य,188.0,1.0
राजा,188.0,1.0
तुम,188.0,1.0
गंगा,187.0,3.0
द्वारा,187.0,1.0
लगा,187.0,1.0
भाव,186.0,1.0
लेकिन,183.0,1.0
हुई,183.0,1.0
उदाहरण,183.0,1.0
सबसे,181.0,1.0
अनुभव,180.0,1.0
हार,180.0,2.0
मेरा,180.0,1.0
करके,179.0,1.0
चाहिए,178.0,1.0
दे,178.0,1.0
नृत्य,178.0,2.0
हमारे,177.0,1.0
दूसरे,177.0,1.0
जाती,173.0,1.0
स्थित,172.0,3.0
ऐसी,172.0,1.0
तब,171.0,1.0
शिक्षण,171.0,1.0
चाँद,171.0,1.0
करता,170.0,1.0
मिलकर,168.0,1.0
पत्र,163.0,2.0
टी,163.0,1.0
लेखन,162.0,1.0
कई,162.0,1.0
तीन,161.0,1.0
बड़े,161.0,1.0
मैंने,161.0,2.0
विचार,161.0,1.0
करती,161.0,1.0
उसने,161.0,1.0
हमें,160.0,1.0
मित्र,159.0,1.0
प्र,158.0,1.0
वाला,158.0,1.0
पेड़,157.0,1.0
अवसर,157.0,1.0
ऊपर,156.0,1.0
कहाँ,154.0,1.0
पढ़िए,153.0,1.0
हर,153.0,1.0
विशेष,152.0,1.0
देखकर,152.0,1.0
फूल,150.0,1.0
उसका,149.0,1.0
लगता,148.0,1.0
बड़ा,148.0,1.0
कहते,145.0,1.0
बाहर,145.0,1.0
लोगों,144.0,1.0
जाना,144.0,1.0
व्यक्त,144.0,1.0
जाए,144.0,1.0
जल,143.0,1.0
उपयोग,142.0,1.0
राह,141.0,1.0
कल्पना,141.0,2.0
व,140.0,1.0
आपकी,140.0,1.0
रामस्वरूप,138.0,9.0
दूर,137.0,1.0
देने,137.0,1.0
हाथ,136.0,1.0
हाँ,135.0,1.0
बड़ी,135.0,1.0
परिषद्,135.0,1.0
मल्हार,133.0,6.0
आनंद,133.0,1.0
भर,133.0,1.0
दिल्ली,132.0,1.0
होंगे,132.0,1.0
ति,132.0,1.0
देते,132.0,1.0
बातें,132.0,1.0
अच्छा,132.0,1.0
लेखक,132.0,5.0
लेकर,131.0,2.0
इसे,131.0,1.0
प्रति,130.0,1.0
शय,129.0,1.0
रात,129.0,1.0
जहाँ,127.0,1.0
पूरा,127.0,1.0
संगीत,127.0,3.0
आधार,126.0,1.0
पीछे,126.0,1.0
नों,126.0,1.0
विद्यालय,126.0,1.0
सामने,126.0,1.0
तैयार,126.0,1.0
चुनकर,125.0,1.0
उनका,125.0,1.0
केवल,125.0,1.0
स्तंभ,125.0,1.0
उसकी,125.0,1.0
किन,124.0,1.0
कवि,124.0,4.0
छोटे,124.0,1.0
विभाग,124.0,1.0
ली,124.0,1.0
राष्ट्रीय,124.0,1.0
शिक्षक,124.0,1.0
दीजिए,123.0,1.0
मुँह,123.0,1.0
निबंध,123.0,3.0
नए,123.0,1.0
इन्हें,122.0,1.0
गीत,122.0,1.0
अंतर,122.0,1.0
स्वयं,121.0,1.0
न,121.0,1.0
लगे,121.0,1.0
कहीं,120.0,1.0
सुंदर,120.0,1.0
कब,119.0,1.0
फल,118.0,1.0
अध्यक्ष,118.0,1.0
इसी,118.0,1.0
भाई,118.0,1.0
सूर्य,117.0,4.0
हवा,116.0,1.0
यात्रा,116.0,4.0
प्रसिद्ध,115.0,1.0
वस्तु,115.0,1.0
संदर्भ,115.0,1.0
पहेली,114.0,1.0
हमारा,114.0,1.0
वर्षा,113.0,1.0
दृष्टि,113.0,1.0
बीच,113.0,1.0
उपयुक्त,113.0,1.0
वाली,113.0,1.0
बना,112.0,1.0
भाग,112.0,1.0
वाक्यों,112.0,1.0
ठीक,111.0,1.0
चार,111.0,1.0
पुस्तिका,110.0,3.0
परिवार,110.0,1.0
रचना,110.0,1.0
पिताजी,110.0,2.0
महत्वपूर्ण,110.0,1.0
सिंह,109.0,1.0
मुख्य,109.0,1.0
अनुमान,109.0,1.0
याद,108.0,1.0
संवाद,108.0,1.0
होकर,107.0,1.0
समाज,106.0,1.0
अनुसार,105.0,1.0
पढ़ने,105.0,1.0
मत,105.0,2.0
दि,104.0,1.0
देता,104.0,1.0
मि,104.0,1.0
ध,103.0,1.0
महाराज,103.0,3.0
होना,102.0,2.0
अभी,102.0,1.0
भारतीय,102.0,3.0
पसंद,102.0,1.0
अगर,101.0,1.0
पुस्तकालय,101.0,1.0
आने,101.0,2.0
बस,101.0,1.0
बनाने,100.0,1.0
खाने,100.0,1.0
पाँच,100.0,1.0
कम,100.0,1.0
प्रोफेसर,99.0,1.0
साझा,99.0,1.0
लगी,99.0,1.0
पाठ्यपुस्तक,99.0,1.0
पा,99.0,1.0
इसका,99.0,1.0
देख,99.0,1.0
रष,99.0,1.0
विद्यार्थियों,98.0,3.0
लगाइए,98.0,1.0
देना,98.0,1.0
अंत,97.0,1.0
पेड़,97.0,1.0
इसलिए,96.0,2.0
धीरे,96.0,2.0
दिखाई,96.0,1.0
करेंगे,95.0,1.0
कुमार,95.0,1.0
इकाई,94.0,1.0
मिट्ठू,93.0,9.0
तत,93.0,1.0
वर्णन,93.0,3.0
जगह,93.0,1.0
आता,93.0,1.0
देखने,92.0,1.0
गाँव,92.0,1.0
लिया,92.0,2.0
इसमें,91.0,1.0
होगी,91.0,1.0
बादल,91.0,1.0
पद,90.0,1.0
गोपालप्रसाद,90.0,9.0
प्रस्तुत,90.0,1.0
ध्व,90.0,7.0
रोचक,90.0,1.0
छोटा,89.0,1.0
श,89.0,1.0
प्रकृति,89.0,1.0
प्रयास,89.0,1.0
रहते,88.0,1.0
आस,88.0,1.0
चला,88.0,2.0
इनके,87.0,1.0
पत्थर,87.0,1.0
सम्मिलित,87.0,1.0
साहित्य,87.0,1.0
विभिन्न,87.0,1.0
प्रदेश,87.0,1.0
हमने,86.0,1.0
पी,86.0,1.0
लेते,86.0,1.0
